x1,x2,x3,Class
0.0837, -0.791, -1.33,1
2.87, -0.882, -0.0399,0
0.215, 0.815, -0.757,1
0.738, -0.175, -0.331,0
1.12, -4.52, -0.34,1
0.82, 0.783, -1.88,0
-3.19, 2.06, 0.507,1
1.98, -3.35, -0.0412,0
-0.228, -4.99, -0.95,1
1.06, -1.69, -0.542,0
0.829, 0.495, 0.795,1
2.03, 0.915, 1.49,0
-5.58, 3.68, 0.694,1
-0.782, 1.65, -0.98,0
-0.948, 0.922, -0.412,1
2.83, -5.64, -0.906,0
1.82, -5.33, 0.237,1
0.371, -0.476, 0.69,0
4.26, -8.37, 0.377,1
2.09, -3.77, 0.319,0
4.09, -4.6, 2.59,1
3.15, -5.61, -1.24,0
1.23, -4.2, 0.344,1
-1.79, 3.53, -1.35,0
-2.04, 2.19, 0.598,1
-0.795, 1.79, -0.383,0
-0.194, -1.1, 1.4,1
2.11, -1.63, -1.35,0
-4.62, 2.02, 0.688,1
0.988, -1.95, -1.24,0
-5.8, 3.98, 1.7,1
4.37, -3.72, 0.919,0
1.34, -5.62, 0.279,1
3.95, -3.77, -0.915,0
-0.826, -0.82, -0.0248,1
-1.31, 0.0283, 3.05,0
-2.64, 4.72, 0.82,1
3.58, -1.83, -0.833,0
-4.83, 4.83, 0.0781,1
2.13, -3.08, -0.0564,0
-1.74, 1.17, 0.0614,1
1.69, 2.04, -1.86,0
-1.78, 1.43, -0.522,1
0.153, -0.518, 0.189,0
0.111, 1.79, -1.05,1
-0.91, 1.83, 0.804,0
2.79, -3.36, -0.813,1
0.257, 2.24, -0.327,0
0.924, -2.96, 0.6,1
-1.13, 3.9, -1.66,0
0.075, -0.282, -0.26,1
-1.11, 3.19, 1.12,0
0.532, -0.197, -0.318,1
0.00115, 3.19, 0.0756,0
-0.892, 0.734, 0.162,1
-0.794, 0.732, -1.1,0
2.01, -4.21, 0.327,1
-2.71, 0.838, 0.276,0
-0.395, 1.78, -0.416,1
3.24, -0.13, -0.263,0
-3.3, 1.67, -0.165,1
3.71, -3.97, -1.31,0
-1.17, -2.96, 0.758,1
1.64, -0.0115, 0.611,0
1.16, 0.00342, -1.22,1
6.4, -6.93, 0.308,0
4.24, -3.94, 0.12,1
0.822, -0.0738, -0.556,0
-3.32, 6.43, -0.234,1
-2.64, 2.57, -1.79,0
-2.14, 0.995, -0.987,1
0.972, 0.78, 0.221,0
-1.81, 0.828, 0.535,1
2.83, -1.88, -0.23,0
-4.23, -0.982, 0.259,1
2.13, 0.185, -0.0992,0
-3.13, 3.47, 0.205,1
-0.0578, 4.57, -1.3,0
-1.35, -0.31, 0.591,1
-0.927, 1.11, 0.444,0
-1.53, 0.44, 0.836,1
1.79, -0.377, 0.499,0
-4.49, 2.67, 1.35,1
2.52, 1.96, 0.183,0
-1.75, -1.9, -0.363,1
0.125, 4.5, -1.26,0
-0.382, -2.43, -1.3,1
1.47, -0.894, 1.19,0
-1.99, 0.922, 0.235,1
2.97, -2.48, 1.61,0
-1.31, -2.91, -0.137,1
0.731, -0.647, 0.138,0
-0.994, 0.621, 0.146,1
-2.52, 5.76, -1.47,0
-0.859, -0.555, -0.631,1
2.45, -0.282, -0.416,0
-0.344, -1.75, -0.323,1
1.16, -0.372, 0.239,0
1.66, -3.32, -1.99,1
-1.26, 3.69, 0.697,0
-0.979, -1.72, 0.292,1
-2.04, 3.38, -1.49,0
1.47, -0.998, 0.788,1
1.59, -2.36, -1.13,0
-2.7, -4.32, -0.389,1
2.34, -3.38, -0.704,0
-2.35, 2.84, 0.285,1
0.378, 0.46, 1.29,0
-2.56, -0.0448, 0.0271,1
-2.14, 4.22, 0.803,0
-3.69, 3.18, -0.784,1
1.43, -2.94, -0.202,0
-2.23, 2.2, -0.467,1
0.588, -0.35, -0.376,0
-3.61, 3.2, -2.44,1
0.72, 1.3, -1.08,0
1.55, 1.13, 1.28,1
0.965, -2.98, -2.0,0
-0.0938, -3.29, 0.862,1
0.369, -0.263, 0.0512,0
-5.2, 2.86, 0.554,1
4.16, -6.6, 0.891,0
0.778, -0.101, -0.709,1
2.48, -0.426, 0.0954,0
1.74, -3.25, 1.36,1
2.18, 0.664, 1.19,0
1.31, -2.29, -1.34,1
-1.65, 0.767, -0.0571,0
0.832, -1.77, -0.308,1
0.432, 0.412, -1.48,0
-2.28, 1.45, -0.799,1
-0.805, 3.39, -0.262,0
0.507, -0.546, 0.114,1
0.717, 2.69, -0.744,0
-1.74, 0.623, -1.61,1
1.79, 0.151, -0.115,0
-1.29, 1.01, 0.121,1
1.89, -0.801, -0.279,0
-2.3, -3.78, -1.75,1
3.38, -1.44, -0.461,0
-1.12, 1.45, 0.738,1
1.48, -0.392, -1.25,0
-3.02, -1.08, -1.17,1
0.0575, 4.95, -1.44,0
1.75, -4.03, 0.0869,1
-1.1, 2.77, 0.547,0
-0.744, -4.33, -2.85,1
0.172, 0.419, -0.625,0
-0.532, -3.48, 0.191,1
-0.098, 1.84, -1.55,0
-0.826, 2.54, 1.21,1
-1.03, -0.741, -0.363,0
0.28, -2.65, 1.27,1
1.26, -1.87, 1.03,0
-1.4, -0.729, 0.343,1
2.36, 0.185, 0.502,0
-1.05, -1.7, 0.387,1
3.43, -0.913, 0.176,0
2.83, -7.51, 0.559,1
0.419, 2.35, -0.426,0
-0.103, 0.106, -1.91,1
1.98, -3.42, 1.35,0
-2.0, 1.78, -0.501,1
-2.61, 4.2, -1.18,0
-0.35, 1.32, 0.802,1
0.529, 2.87, 2.25,0
-1.38, -3.54, 0.16,1
-1.05, 1.86, 1.8,0
2.03, -1.68, 0.742,1
0.976, -2.22, -1.26,0
1.18, -5.98, -0.679,1
-0.152, -0.899, -0.513,0
-0.109, 1.48, -0.264,1
-0.601, -0.199, 1.3,0
0.258, -0.577, 0.174,1
1.04, -0.489, -0.909,0
0.943, -1.8, 1.61,1
1.89, -0.0939, -1.82,0
0.4, -4.96, 1.27,1
1.13, -0.971, -0.814,0
-2.45, 1.04, 0.0547,1
2.19, -2.6, 0.224,0
0.692, -2.57, 0.563,1
0.675, -1.87, -1.2,0
-0.942, 0.558, -0.569,1
-2.25, 1.12, 0.81,0
-1.18, -3.58, -0.281,1
5.53, -7.83, 0.274,0
-1.43, 1.03, -0.43,1
0.531, 4.64, 1.37,0
0.144, -3.99, 0.556,1
-2.86, 1.64, 0.282,0
0.494, -0.157, -0.365,1
0.578, -3.29, 1.3,0
-6.13, 6.18, -2.25,1
1.92, 1.43, -0.552,0
-3.67, 0.112, 0.821,1
1.49, -1.96, 0.423,0
-1.11, -2.61, 0.541,1
1.11, 4.16, 1.66,0
-2.53, 0.653, -0.0281,1
3.97, -0.32, -0.791,0
-2.15, 2.08, 3.13,1
-0.132, 3.02, -0.474,0
-1.52, 1.1, 0.325,1
0.699, -1.45, -0.624,0
-2.09, 1.45, 2.31,1
0.347, 3.43, -1.55,0
-2.02, 1.72, -0.451,1
5.68, -4.95, -1.84,0
-0.411, 2.11, -1.81,1
0.179, 1.87, -1.51,0
-3.53, 3.68, 0.312,1
-1.66, 2.37, -1.49,0
0.174, 0.798, 0.835,1
2.09, -0.466, 0.0201,0
-1.43, 0.893, -1.15,1
1.05, -1.01, -1.26,0
-1.3, 1.32, 0.314,1
3.92, -4.41, 1.39,0
0.158, -0.219, 1.34,1
-0.505, -0.25, 0.142,0
-2.59, 1.47, 0.923,1
0.523, -0.0964, -0.166,0
-3.22, 1.24, -0.454,1
-0.196, -0.00418, 0.543,0
-0.968, 0.741, -0.166,1
-0.653, 3.2, -0.0491,0
-2.77, 3.26, -0.0507,1
2.87, -3.33, 0.892,0
3.15, -5.87, -0.166,1
1.5, -3.23, 0.968,0
-0.791, -0.695, -1.17,1
1.59, -2.62, -0.172,0
-1.03, 3.68, -0.605,1
-1.63, 1.52, 0.23,0
-1.4, -0.556, 0.154,1
1.52, 0.912, -2.86,0
1.36, 0.266, -0.325,1
1.24, 0.122, -1.41,0
1.35, -3.54, 0.152,1
-1.0, -0.48, -0.316,0
1.61, -2.54, -1.22,1
2.21, -3.3, -1.62,0
1.29, -1.76, -0.507,1
5.83, -7.67, 0.526,0
1.38, -2.99, 1.16,1
1.22, 4.13, -0.84,0
-2.03, 4.08, -0.721,1
-1.53, 5.22, 0.281,0
-0.722, -2.48, 0.154,1
2.65, -1.3, 0.222,0
-1.35, -0.352, -0.204,1
-1.03, 3.46, -1.46,0
-3.4, 1.45, 0.241,1
-2.3, 4.97, 0.00113,0
-0.312, 1.57, 0.62,1
5.88, -2.2, 0.162,0
1.77, -2.03, -1.96,1
0.454, 2.31, -0.961,0
-3.25, 5.47, -1.19,1
4.37, -2.91, -1.39,0
-1.89, 2.21, -0.994,1
1.71, 0.28, -0.555,0
-0.751, 1.14, -0.48,1
-1.59, 3.55, 0.555,0
-1.42, 2.94, -0.414,1
0.0782, 3.55, 0.268,0
-2.28, 2.81, -1.02,1
-2.0, 6.28, -1.14,0
-1.89, 2.95, -0.387,1
0.863, -0.0203, -0.844,0
-0.931, 0.472, -0.216,1
-3.85, 4.7, 1.44,0
0.72, 0.161, -0.0672,1
-2.92, 6.83, 0.59,0
1.86, -4.86, -1.38,1
4.3, -3.81, -2.23,0
2.25, -6.56, 0.799,1
-0.409, -1.6, 0.196,0
-4.34, 1.43, -0.22,1
2.98, 0.346, -0.793,0
-2.31, 4.99, -1.07,1
-0.278, 3.85, -1.28,0
4.02, -4.3, -1.23,1
-1.94, 1.81, 1.85,0
0.51, -1.22, 1.57,1
1.26, 3.39, -0.898,0
2.23, -5.1, -1.76,1
3.06, -1.9, -0.202,0
1.45, -0.261, 2.75,1
1.84, 1.26, 0.867,0
0.914, -2.61, 0.915,1
0.598, 0.122, -1.73,0
-0.195, -1.7, 0.626,1
0.41, -0.49, -0.449,0
-1.21, -0.403, 0.633,1
-0.367, -0.896, 0.777,0
-0.173, 1.61, 0.486,1
