x1,x2,x3,Class
1.24, -0.536, 0.509,sig
-2.97, 1.56, 0.805,bkg
2.09, 0.353, 0.97,sig
-0.0864, -0.966, 0.68,bkg
1.32, -1.48, 0.572,sig
-0.0936, -1.17, 1.79,bkg
2.64, -1.85, 0.729,sig
-3.24, 1.34, 1.21,bkg
0.359, 1.18, 1.35,sig
-0.342, -0.521, 0.445,bkg
1.59, -1.25, 0.639,sig
-1.21, 0.0156, 1.72,bkg
0.779, 0.104, 1.18,sig
0.301, -1.41, 0.565,bkg
2.14, -1.19, 0.833,sig
-0.469, -1.41, 0.994,bkg
1.34, -0.273, 1.77,sig
-0.401, -1.24, 0.338,bkg
1.6, -0.361, 1.87,sig
0.33, -1.71, 0.996,bkg
3.08, -2.66, 1.84,sig
-1.06, 0.51, 1.1,bkg
1.01, -0.41, 0.853,sig
-1.75, 0.717, 0.447,bkg
0.74, 0.12, 1.53,sig
-0.781, -0.754, 0.29,bkg
3.04, -0.95, 1.92,sig
-1.2, -0.0194, 0.275,bkg
2.56, -1.84, 1.29,sig
-1.42, 0.125, 0.629,bkg
1.87, 0.0771, 0.721,sig
-1.77, -0.154, 0.0618,bkg
1.81, -0.653, 0.824,sig
-1.82, 1.56, 1.73,bkg
1.73, -1.18, 0.603,sig
-0.732, -0.0934, 0.771,bkg
0.588, 0.728, 0.887,sig
-0.658, 0.4, 0.846,bkg
2.37, -1.03, 1.01,sig
-0.479, -0.663, 1.91,bkg
0.38, 0.394, 0.84,sig
-0.826, -0.926, 0.213,bkg
0.509, 0.286, 0.628,sig
-1.33, -0.302, 0.698,bkg
1.12, 0.398, 0.306,sig
-0.156, -0.689, 1.35,bkg
0.482, 0.0242, 0.855,sig
-1.49, 2.03, 1.98,bkg
1.91, 0.399, 1.49,sig
-0.986, -0.524, 0.746,bkg
0.645, 0.427, 1.93,sig
-0.612, -0.626, 0.126,bkg
2.0, -0.0248, 1.79,sig
-1.64, 0.565, 1.42,bkg
2.38, -0.76, 0.546,sig
-3.42, 1.76, 1.46,bkg
4.17, -2.7, 1.91,sig
-0.0338, -0.929, 1.26,bkg
0.298, 0.587, 1.4,sig
-1.43, 0.207, 0.986,bkg
-0.469, 1.16, 1.64,sig
-0.0834, -0.212, 1.24,bkg
1.73, -0.857, 1.07,sig
-0.355, -1.15, 0.806,bkg
0.226, 1.9, 0.339,sig
-0.973, -0.808, 1.37,bkg
1.41, 0.269, 0.445,sig
-2.08, 0.418, 1.19,bkg
1.55, -0.363, 1.59,sig
-1.28, 0.105, 0.377,bkg
1.62, -0.883, 1.47,sig
0.22, -1.36, 0.129,bkg
1.1, 0.524, 0.935,sig
-2.45, 1.89, 0.957,bkg
-0.965, 1.96, 1.78,sig
-1.33, 1.47, 0.918,bkg
1.38, -0.0582, 0.544,sig
-1.85, 0.707, 0.275,bkg
-1.59, 2.66, 0.0107,sig
-1.0, 0.0617, 1.47,bkg
-0.24, 1.81, 1.83,sig
-0.443, -0.748, 1.07,bkg
1.2, -0.389, 1.07,sig
-0.157, -0.881, 0.906,bkg
0.873, -0.457, 1.92,sig
0.551, -1.69, 0.514,bkg
0.259, 1.67, 0.531,sig
-0.911, -0.247, 1.59,bkg
0.92, -0.702, 1.21,sig
-0.487, -1.2, 1.61,bkg
0.987, -0.768, 0.194,sig
-1.98, 1.23, 1.56,bkg
-0.0786, 0.879, 1.11,sig
-0.478, -1.6, 1.53,bkg
-0.673, 2.71, 1.19,sig
-0.299, -1.42, 1.48,bkg
1.21, 0.557, 0.103,sig
-0.89, -1.43, 1.3,bkg
2.18, -0.414, 0.227,sig
-0.608, -0.601, 1.05,bkg
1.84, -1.12, 1.25,sig
-1.87, 0.746, 1.76,bkg
-0.154, 1.66, 1.46,sig
-1.34, -0.233, 0.987,bkg
0.835, 1.08, 1.78,sig
-1.14, 0.754, 1.6,bkg
-0.0353, 1.84, 1.45,sig
-0.999, 0.203, 1.4,bkg
0.96, 0.441, 1.11,sig
1.08, -2.65, 1.31,bkg
0.972, -0.688, 1.36,sig
-1.03, -0.0361, 0.24,bkg
0.783, 0.335, 1.79,sig
-0.147, -1.26, 0.17,bkg
1.14, 0.171, 0.208,sig
-0.0213, -1.28, 1.21,bkg
0.0621, 1.88, 0.479,sig
-1.71, 0.584, 0.554,bkg
2.44, -2.92, 0.981,sig
-2.17, 1.23, 1.72,bkg
-1.64, 2.9, 0.84,sig
-1.9, 0.621, 0.351,bkg
1.64, -0.136, 1.32,sig
-0.641, -1.22, 1.15,bkg
0.325, 0.842, 1.19,sig
-1.93, 1.15, 0.643,bkg
-0.543, 1.06, 1.33,sig
-0.748, -0.178, 0.282,bkg
1.55, -0.61, 0.322,sig
0.148, -1.05, 0.874,bkg
0.893, -0.0585, 1.29,sig
-2.12, 1.03, 1.45,bkg
1.24, 1.16, 1.98,sig
0.0241, -1.06, 0.326,bkg
0.249, 1.11, 0.319,sig
-1.04, 0.925, 0.455,bkg
1.47, -0.924, 2.0,sig
-0.311, -0.751, 0.622,bkg
1.37, 0.0798, 0.394,sig
-1.55, -0.155, 0.181,bkg
1.11, 0.776, 0.0329,sig
-1.72, 0.917, 0.921,bkg
2.98, -2.36, 0.925,sig
-1.06, -0.58, 0.605,bkg
2.12, 0.376, 1.28,sig
-0.569, -1.34, 1.85,bkg
2.24, -1.26, 1.64,sig
-0.308, -1.01, 1.05,bkg
1.3, -0.443, 0.1,sig
-1.54, 0.489, 0.897,bkg
-0.0437, 0.931, 1.68,sig
-2.32, 1.51, 1.58,bkg
0.765, 0.4, 0.65,sig
-1.78, 1.28, 0.532,bkg
0.498, 0.669, 0.595,sig
-2.8, 2.01, 1.19,bkg
-0.329, 1.45, 1.69,sig
-0.0282, -0.985, 1.14,bkg
0.283, 1.17, 1.19,sig
-4.08, 3.35, 0.752,bkg
-1.15, 2.9, 0.755,sig
-2.54, 2.08, 0.317,bkg
1.44, 0.252, 0.292,sig
-1.28, -0.0585, 0.824,bkg
1.59, -0.704, 1.56,sig
-1.26, 0.101, 0.0944,bkg
1.32, 0.415, 0.0758,sig
-1.25, -0.179, 1.46,bkg
0.522, 1.1, 1.15,sig
-1.99, 0.394, 0.436,bkg
1.04, -0.3, 1.05,sig
-0.786, -0.516, 1.9,bkg
0.292, 1.63, 1.45,sig
-1.1, -0.514, 0.549,bkg
1.18, -0.207, 1.05,sig
-0.0647, -1.21, 1.02,bkg
0.995, -0.442, 1.96,sig
-0.82, -1.27, 0.0364,bkg
0.308, 1.14, 0.37,sig
-0.0764, -1.13, 0.941,bkg
1.48, -0.853, 0.631,sig
-1.36, 0.359, 1.14,bkg
-0.159, 1.94, 1.59,sig
-1.05, 0.0639, 1.81,bkg
1.15, -0.372, 1.93,sig
-1.4, 0.218, 0.992,bkg
0.324, 1.08, 0.274,sig
-0.265, -2.12, 0.321,bkg
1.41, -0.102, 0.643,sig
-2.5, 1.56, 1.9,bkg
2.99, -2.61, 1.07,sig
-0.96, 0.28, 0.0266,bkg
0.427, 0.991, 1.88,sig
-1.74, 1.29, 1.81,bkg
1.31, 0.0649, 0.505,sig
-0.34, -1.6, 1.48,bkg
0.36, 0.769, 0.334,sig
1.24, -2.15, 0.0074,bkg
0.846, -0.597, 0.24,sig
-0.456, -0.973, 1.76,bkg
-0.718, 1.6, 1.7,sig
-0.252, -0.713, 0.833,bkg
4.66, -2.72, 0.0903,sig
-1.69, 0.485, 1.77,bkg
1.32, -0.171, 1.66,sig
-1.53, 0.342, 0.283,bkg
1.91, -0.767, 0.668,sig
-1.98, 0.63, 0.487,bkg
2.54, -1.1, 1.81,sig
-0.117, -0.669, 0.12,bkg
0.477, 1.52, 0.262,sig
0.439, -1.58, 0.652,bkg
1.39, -0.294, 1.35,sig
-1.97, 0.324, 1.38,bkg
3.59, -1.78, 0.31,sig
-0.134, -0.511, 0.339,bkg
-0.335, 1.21, 1.62,sig
-1.72, 0.473, 1.53,bkg
1.02, -0.963, 1.38,sig
0.926, -1.83, 1.48,bkg
2.18, -1.01, 1.82,sig
-0.398, -1.08, 0.776,bkg
0.072, 3.03, 0.216,sig
-0.725, -0.655, 0.0081,bkg
0.205, 1.56, 0.592,sig
-0.215, -0.543, 1.21,bkg
2.98, -1.56, 1.13,sig
-2.62, 2.41, 1.25,bkg
0.339, 0.54, 0.514,sig
-1.59, -0.277, 0.669,bkg
0.177, 0.769, 0.565,sig
-3.25, 2.05, 0.828,bkg
0.388, 1.17, 1.87,sig
0.53, -2.04, 1.41,bkg
0.809, -0.757, 0.826,sig
-1.65, 0.202, 1.18,bkg
0.246, 0.472, 0.6,sig
-0.126, -1.76, 0.127,bkg
3.57, -3.01, 1.79,sig
-0.523, -0.364, 0.751,bkg
1.88, -0.944, 1.39,sig
-1.67, 0.559, 0.621,bkg
2.32, -1.61, 1.28,sig
-3.24, 2.3, 1.89,bkg
2.2, -1.13, 1.14,sig
-0.211, -0.539, 0.747,bkg
1.76, -0.853, 1.91,sig
-1.88, 0.569, 1.02,bkg
0.592, 0.975, 0.462,sig
-1.84, 0.263, 1.13,bkg
-0.565, 2.87, 0.472,sig
-2.18, 0.377, 1.98,bkg
-0.458, 1.63, 1.65,sig
0.36, -2.29, 0.173,bkg
0.824, 0.663, 1.86,sig
-0.0454, -0.689, 0.0444,bkg
2.75, -1.33, 1.88,sig
0.0516, -1.37, 1.88,bkg
1.4, -0.452, 0.768,sig
-1.74, 0.472, 1.78,bkg
1.51, 0.467, 1.81,sig
-1.69, 1.62, 0.549,bkg
-0.0492, 1.31, 0.776,sig
-1.28, 0.968, 1.6,bkg
-0.596, 2.52, 0.201,sig
0.463, -2.04, 0.969,bkg
1.02, 0.864, 0.15,sig
-0.0415, -1.16, 1.04,bkg
1.33, 0.13, 1.64,sig
-1.16, -0.0181, 0.951,bkg
1.98, -1.19, 1.27,sig
-0.497, -1.48, 0.663,bkg
1.09, 0.271, 0.248,sig
-1.81, 0.0823, 0.567,bkg
0.989, 0.271, 0.726,sig
-1.22, -0.144, 0.148,bkg
1.3, -0.0242, 1.66,sig
-3.02, 1.3, 0.188,bkg
-0.327, 1.41, 1.7,sig
-2.09, 0.965, 1.23,bkg
1.95, -0.788, 0.267,sig
-0.902, 0.498, 0.195,bkg
0.276, 0.774, 1.64,sig
-0.236, -1.03, 0.117,bkg
1.13, -0.152, 0.467,sig
-0.714, -0.207, 1.69,bkg
2.33, -1.92, 1.62,sig
0.244, -1.74, 1.23,bkg
0.324, 0.365, 0.752,sig
-0.975, 0.203, 1.63,bkg
2.74, -1.31, 1.35,sig
-1.53, 0.665, 0.978,bkg
0.373, 1.24, 1.94,sig
-0.047, -1.39, 1.66,bkg
1.57, 0.475, 0.407,sig
-0.564, -0.803, 1.64,bkg
2.04, -2.77, 0.368,sig
0.0426, -1.32, 1.34,bkg
-0.138, 1.68, 1.51,sig
0.124, -1.24, 0.052,bkg
1.07, 0.501, 0.817,sig
0.881, -2.61, 0.247,bkg
0.974, 0.0947, 1.42,sig
-1.48, 0.545, 0.808,bkg
1.0, 0.516, 1.34,sig
-2.83, 2.43, 0.597,bkg
-0.031, 1.44, 0.254,sig
-0.247, -1.41, 0.272,bkg
0.245, 1.67, 1.19,sig
-0.686, -0.554, 1.12,bkg
1.68, 0.163, 1.82,sig
-0.647, -0.785, 0.372,bkg
0.321, 0.828, 1.74,sig
-2.01, 1.21, 1.27,bkg
2.67, -1.78, 1.46,sig
-3.56, 2.92, 0.342,bkg
0.889, 0.972, 0.0076,sig
-1.51, 0.496, 0.323,bkg
1.49, -0.0938, 0.761,sig
0.578, -1.05, 1.11,bkg
-0.17, 1.76, 1.47,sig
-0.0206, -1.92, 0.488,bkg
1.81, -0.277, 1.48,sig
-0.316, -1.09, 0.647,bkg
1.62, 0.0243, 0.0203,sig
-0.949, -0.322, 1.58,bkg
0.689, 1.52, 0.0109,sig
-0.318, -0.95, 0.524,bkg
2.41, -1.72, 0.578,sig
-1.49, 0.276, 0.0345,bkg
0.754, 0.592, 0.0341,sig
0.912, -2.43, 1.7,bkg
0.438, 0.406, 0.655,sig
-0.361, -1.09, 0.978,bkg
0.161, 1.52, 0.568,sig
-1.87, 0.239, 1.93,bkg
0.0523, 0.886, 0.838,sig
-1.38, 0.00772, 0.715,bkg
2.12, -0.898, 1.41,sig
-1.38, -0.259, 1.9,bkg
1.41, 0.398, 0.0673,sig
-0.00664, -0.533, 1.63,bkg
-0.0493, 1.74, 1.13,sig
-1.22, 0.866, 1.57,bkg
-0.682, 1.46, 0.378,sig
-1.04, 0.108, 0.187,bkg
2.81, -1.44, 0.146,sig
-1.56, -0.009, 0.614,bkg
2.38, -0.683, 0.952,sig
-1.48, 0.78, 0.572,bkg
0.109, 0.0513, 1.03,sig
-0.696, 0.244, 1.99,bkg
1.79, -0.547, 1.82,sig
-0.756, -0.0648, 0.182,bkg
1.14, 0.181, 1.23,sig
-1.58, 0.604, 1.41,bkg
2.07, -1.47, 1.69,sig
-1.12, -0.326, 0.051,bkg
2.8, -1.11, 1.22,sig
-0.967, -0.589, 1.88,bkg
1.63, -0.532, 1.6,sig
-1.7, 0.273, 1.26,bkg
0.788, 0.32, 1.15,sig
0.175, -1.62, 1.58,bkg
0.892, 0.767, 1.47,sig
-1.02, 0.464, 0.0175,bkg
0.885, 0.283, 0.884,sig
-1.07, -0.267, 1.06,bkg
1.38, -0.243, 1.19,sig
-1.33, 1.08, 0.509,bkg
0.95, 0.555, 1.46,sig
-1.55, 0.548, 0.215,bkg
0.848, -0.214, 1.22,sig
-1.65, -0.444, 1.72,bkg
1.28, -0.29, 0.477,sig
0.242, -2.38, 1.14,bkg
0.743, 0.907, 0.166,sig
0.149, -1.46, 1.31,bkg
1.22, 0.258, 1.84,sig
-0.657, -0.157, 0.999,bkg
2.38, -1.83, 0.902,sig
-1.78, 0.805, 1.58,bkg
1.66, 0.175, 1.47,sig
-2.01, 1.38, 1.05,bkg
2.29, -0.68, 0.413,sig
0.125, -1.78, 1.9,bkg
0.451, 0.288, 0.485,sig
-1.73, 1.44, 1.76,bkg
0.698, 1.43, 0.662,sig
0.428, -2.53, 0.23,bkg
0.624, 0.924, 1.43,sig
1.1, -1.87, 1.14,bkg
1.48, 0.494, 1.28,sig
-2.08, 0.816, 1.58,bkg
-0.0213, 1.52, 0.828,sig
-0.275, -0.867, 1.44,bkg
1.66, -0.626, 0.438,sig
-1.5, 0.135, 1.68,bkg
-0.0264, 1.75, 1.84,sig
-0.977, -0.99, 1.75,bkg
1.42, 0.652, 1.43,sig
0.449, -1.32, 0.769,bkg
1.27, 0.131, 1.74,sig
-2.03, 0.925, 0.871,bkg
0.128, 2.05, 0.387,sig
0.411, -1.42, 0.433,bkg
1.61, -0.485, 0.73,sig
-0.81, -1.41, 0.586,bkg
1.44, -0.149, 1.44,sig
-1.77, 0.549, 1.04,bkg
1.92, -0.135, 1.58,sig
-2.29, 1.67, 1.97,bkg
1.4, 0.31, 1.43,sig
-0.131, -0.704, 1.1,bkg
0.497, 1.16, 1.83,sig
-1.93, 1.33, 0.175,bkg
-1.46, 2.5, 0.134,sig
-0.441, 0.00603, 0.357,bkg
0.757, 0.224, 1.13,sig
0.924, -1.24, 0.237,bkg
1.27, -0.102, 1.09,sig
-1.48, 0.851, 0.686,bkg
0.191, 0.646, 1.46,sig
-1.06, -0.339, 0.821,bkg
0.686, -0.128, 0.592,sig
-1.75, 0.804, 0.956,bkg
0.347, 1.68, 1.49,sig
-0.569, -0.359, 0.351,bkg
0.902, 0.471, 0.252,sig
-1.53, 0.183, 1.94,bkg
0.412, -0.462, 0.19,sig
-2.32, 0.936, 1.56,bkg
0.926, 1.35, 0.914,sig
-0.699, -0.157, 0.55,bkg
1.08, 0.741, 0.313,sig
-0.28, 0.171, 1.55,bkg
1.06, 1.44, 1.22,sig
-1.99, 0.909, 1.44,bkg
1.12, 0.627, 1.27,sig
-0.048, -1.19, 0.433,bkg
0.299, 1.4, 0.725,sig
-1.23, -0.0937, 1.6,bkg
-0.71, 1.53, 0.683,sig
-1.97, 1.0, 0.828,bkg
0.0588, 1.96, 0.509,sig
0.366, -1.24, 0.941,bkg
0.935, 0.0309, 0.246,sig
-0.213, 0.14, 0.886,bkg
0.281, 1.12, 0.946,sig
-0.393, -0.571, 1.4,bkg
0.711, 0.371, 1.96,sig
-1.31, 0.455, 1.88,bkg
0.527, 1.2, 0.508,sig
-0.691, 0.71, 1.58,bkg
2.74, -1.46, 0.843,sig
0.97, -3.01, 1.74,bkg
-0.354, 2.17, 1.9,sig
-0.66, -0.94, 1.34,bkg
3.28, -2.43, 0.64,sig
-1.54, 0.193, 0.626,bkg
1.14, 0.235, 0.684,sig
-0.804, -0.922, 1.12,bkg
1.58, -0.483, 1.26,sig
-1.79, 0.807, 0.448,bkg
0.496, 0.0282, 1.68,sig
-0.414, -0.0102, 1.04,bkg
1.31, -0.798, 1.3,sig
-1.22, 0.0717, 0.849,bkg
-0.117, 1.52, 0.442,sig
-1.04, -0.305, 1.38,bkg
0.863, -0.582, 0.646,sig
-2.57, 1.69, 1.98,bkg
2.21, -0.703, 1.91,sig
-0.665, -0.597, 0.487,bkg
2.59, -1.0, 0.327,sig
-1.79, 0.934, 0.321,bkg
0.173, 1.21, 0.928,sig
-1.41, -0.0147, 1.25,bkg
-0.334, 1.21, 0.275,sig
-1.25, 0.288, 0.959,bkg
0.87, 0.546, 1.81,sig
-0.673, -0.747, 0.656,bkg
-0.733, 1.45, 0.732,sig
-2.72, 0.847, 1.24,bkg
0.337, 1.79, 1.57,sig
-3.43, 2.56, 1.31,bkg
0.171, 0.596, 0.975,sig
-2.25, 0.854, 1.31,bkg
0.0311, 1.52, 1.88,sig
-0.231, -0.493, 0.42,bkg
-0.831, 2.35, 1.65,sig
-1.84, -0.318, 0.543,bkg
0.333, 0.66, 1.41,sig
-1.34, 0.543, 1.6,bkg
3.05, -1.72, 0.938,sig
-0.256, -1.58, 0.16,bkg
0.838, 0.298, 0.387,sig
0.833, -2.02, 1.49,bkg
2.32, -1.35, 0.494,sig
-2.3, 1.15, 1.82,bkg
1.59, -0.935, 0.949,sig
-0.923, -0.482, 0.942,bkg
0.62, -0.00566, 0.94,sig
-0.00247, -1.22, 0.0183,bkg
2.31, -1.44, 1.2,sig
-4.3, 2.92, 0.759,bkg
0.736, 0.279, 1.86,sig
0.0546, -1.36, 0.867,bkg
0.308, 0.592, 1.89,sig
-2.15, 0.915, 1.21,bkg
1.74, -0.383, 1.57,sig
-1.32, -1.09, 0.741,bkg
0.0184, 1.58, 1.91,sig
-0.105, -1.59, 0.364,bkg
0.762, 0.0978, 1.58,sig
-1.02, 0.592, 0.455,bkg
1.47, -0.264, 1.53,sig
-2.63, 2.32, 0.407,bkg
1.43, 0.192, 0.0992,sig
-1.02, 0.0355, 1.42,bkg
1.69, -0.445, 0.0492,sig
-2.17, 0.499, 1.63,bkg
0.22, 0.854, 1.47,sig
-1.72, 0.566, 1.53,bkg
-0.505, 2.36, 1.63,sig
-0.159, -1.21, 0.927,bkg
0.918, 0.713, 0.496,sig
0.24, -0.541, 0.564,bkg
2.95, -2.09, 0.607,sig
-2.87, 1.53, 1.65,bkg
-0.653, 1.96, 1.86,sig
-1.11, -0.507, 1.08,bkg
2.56, -1.65, 0.657,sig
-1.3, -0.41, 0.0155,bkg
3.32, -2.12, 0.3,sig
-0.574, -0.67, 0.0984,bkg
1.31, -0.666, 0.492,sig
-0.939, 0.25, 0.609,bkg
0.898, 0.276, 1.45,sig
-2.05, 0.771, 0.994,bkg
1.43, -0.2, 0.187,sig
-0.474, -1.36, 1.9,bkg
0.189, 0.982, 1.64,sig
-0.5, 0.583, 1.06,bkg
-0.603, 1.86, 0.754,sig
-1.78, 0.0209, 0.0655,bkg
3.88, -2.37, 1.24,sig
0.671, -1.48, 0.197,bkg
1.18, -0.126, 1.24,sig
-0.0393, -1.64, 1.94,bkg
1.54, -0.293, 1.46,sig
-3.69, 2.14, 0.898,bkg
2.01, -1.04, 0.774,sig
0.417, -1.44, 0.22,bkg
1.42, 0.00697, 1.7,sig
-1.13, 0.347, 1.31,bkg
0.106, 1.34, 0.358,sig
-2.65, 1.92, 0.0886,bkg
1.69, -0.179, 1.17,sig
-0.913, 0.00882, 0.493,bkg
0.928, 0.482, 0.225,sig
-1.25, -0.706, 1.39,bkg
1.95, -0.631, 1.11,sig
-1.79, -0.0504, 1.16,bkg
-0.135, 1.4, 0.37,sig
-1.16, -0.88, 1.14,bkg
-0.0364, 0.861, 1.24,sig
-1.18, 0.917, 0.593,bkg
1.99, -0.998, 1.42,sig
-1.63, -0.00832, 0.897,bkg
1.75, -0.398, 0.77,sig
-1.43, 0.143, 1.18,bkg
0.843, -0.149, 0.957,sig
0.398, -2.18, 0.397,bkg
0.648, 0.244, 1.34,sig
-2.59, 1.27, 1.43,bkg
0.826, 0.0821, 1.55,sig
-1.44, 0.728, 0.206,bkg
1.91, 0.128, 0.122,sig
-3.79, 3.09, 0.398,bkg
0.455, 0.394, 0.601,sig
-0.706, -1.15, 1.62,bkg
2.14, -1.18, 1.04,sig
-3.03, 1.77, 1.46,bkg
1.55, -1.02, 1.28,sig
-1.82, 0.619, 0.688,bkg
1.8, -0.862, 0.687,sig
-0.679, -0.303, 0.69,bkg
2.6, -0.851, 1.73,sig
-0.136, -1.36, 0.492,bkg
0.453, 0.205, 0.877,sig
-1.37, 0.79, 0.351,bkg
1.25, -1.15, 0.676,sig
-0.591, -0.655, 1.02,bkg
-0.439, 1.92, 1.43,sig
-1.61, 0.371, 0.93,bkg
1.44, -0.962, 0.382,sig
-0.335, -0.203, 0.745,bkg
0.11, 1.31, 1.29,sig
-2.19, 1.14, 1.13,bkg
3.13, -2.08, 0.206,sig
1.15, -1.19, 0.635,bkg
2.62, -1.18, 1.61,sig
0.249, -1.79, 0.786,bkg
1.15, -0.139, 0.513,sig
-0.64, -0.533, 0.92,bkg
1.2, -0.263, 1.98,sig
-1.74, -0.479, 0.388,bkg
0.703, 0.126, 1.37,sig
-1.57, 1.03, 1.37,bkg
2.08, -0.87, 0.599,sig
-1.41, -0.324, 1.45,bkg
-1.55, 3.09, 1.31,sig
-1.81, 0.432, 1.82,bkg
-1.25, 2.0, 0.448,sig
-0.561, 0.401, 1.22,bkg
-0.66, 1.71, 0.338,sig
-0.653, -0.622, 0.117,bkg
1.47, 0.0415, 0.418,sig
-0.817, -0.512, 1.62,bkg
0.391, 0.973, 1.94,sig
-1.26, -0.111, 0.399,bkg
1.61, -0.375, 1.64,sig
0.0888, -1.14, 1.06,bkg
-0.188, 1.55, 0.703,sig
-1.83, 0.895, 1.79,bkg
1.95, -0.84, 0.596,sig
-1.26, 0.515, 1.78,bkg
0.268, 1.32, 0.207,sig
-1.11, -0.278, 0.967,bkg
2.11, -1.03, 0.476,sig
1.79, -2.07, 1.84,bkg
1.15, -0.333, 0.514,sig
0.905, -2.06, 0.478,bkg
0.279, 0.725, 0.707,sig
-2.62, 1.03, 0.662,bkg
1.41, 0.578, 0.724,sig
0.12, -1.38, 1.87,bkg
-0.32, 1.62, 1.54,sig
0.436, -1.93, 0.641,bkg
1.46, 0.384, 1.94,sig
-0.536, -1.56, 1.04,bkg
0.705, -0.279, 1.09,sig
-1.48, -0.104, 0.153,bkg
0.00508, 2.6, 0.922,sig
-1.89, 1.35, 0.821,bkg
2.44, -1.02, 0.724,sig
-0.859, -0.00909, 1.44,bkg
-0.391, 1.74, 1.53,sig
-0.851, 0.00812, 1.64,bkg
